[ブロードソード] スキル1 | カットオフ | 上段 | (350/0/2)
[ブロードソード] スキル2 | ボディスルー | 中段 | (300/0/2)
[ブロードソード] スキル3 | ピアッシング | 下段 | (300/0/2)
[ブロードソード] スキル4 | ディバイド | 奥義 | (250/50/1)
[ブロードソード] スキル5 | ディフレクション | 無形 | (250/50/2)
[グラディウス] スキル1 | スラッシュ | 上段 | (300/50/2)
[グラディウス] スキル2 | スラスト | 中段 | (250/0/3)
[グラディウス] スキル3 | スタティック | 下段 | (-200/250/1)
[グラディウス] スキル4 | スマッシュ | 奥義 | (300/0/1)
[グラディウス] スキル5 | スパルタクス | 無形 | (200/200/1)
[ロングソード] スキル1 | スイング | 上段 | (450/-100/1)
[ロングソード] スキル2 | スイープ | 中段 | (300/0/1)
[ロングソード] スキル3 | ブランディッシュ | 下段 | (350/0/1)
[ロングソード] スキル4 | ツォルンハウ | 奥義 | (350/-50/1)
[ロングソード] スキル5 | モルトシュラーク | 無形 | (300/100/1)
[打刀] スキル1 | 唐竹割 | 上段 | (350/0/1)
[打刀] スキル2 | 貫突 | 中段 | (250/0/2)
[打刀] スキル3 | 逆袈裟 | 下段 | (300/0/2)
[打刀] スキル4 | 一閃 | 奥義 | (350/-100/1)
[打刀] スキル5 | 居合 | 無形 | (550/-100/1)
[フライパン] スキル1 | バァンッ | 上段 | (300/50/2)
[フライパン] スキル2 | ガァンッ | 中段 | (250/100/2)
[フライパン] スキル3 | ゴォンッ | 下段 | (350/0/1)
[フライパン] スキル4 | ゴスッ | 奥義 | (200/50/1)
[フライパン] スキル5 | カンカンカン | 無形 | (50/150/3)
[バトルアックス] スキル1 | ヘルムブレイク | 上段 | (450/-50/1)
[バトルアックス] スキル2 | レイジスイング | 中段 | (350/0/1)
[バトルアックス] スキル3 | スマイト | 下段 | (500/-100/1)
[バトルアックス] スキル4 | トマホーク | 奥義 | (400/-100/1)
[バトルアックス] スキル5 | セービング | 無形 | (100/0/3)
[包丁] スキル1 | 半月斬り | 中段 | (400/0/1)
[包丁] スキル2 | 短冊斬り | 中段 | (250/50/2)
[包丁] スキル3 | くし斬り | 中段 | (200/100/1)
[包丁] スキル4 | みじん斬り | 奥義 | (300/-100/1)
[包丁] スキル5 | 研ぐ | 無形 | (-200/150/3)
[双剣] スキル1 | ライトスティング | 上段 | (400/-50/2)
[双剣] スキル2 | ウィンドミル | 中段 | (450/0/2)
[双剣] スキル3 | スタブリポスト | 中段 | (150/200/1)
[双剣] スキル4 | レッグハント | 下段 | (450/0/2)
[双剣] スキル5 | クロスガード | 下段 | (0/300/1)
[トリガーブレイド] スキル1 | ヴィヴロエッジ | 上段 | (600/-100/1)
[トリガーブレイド] スキル2 | ジェットスラスト | 中段 | (500/-50/1)
[トリガーブレイド] スキル3 | ブラストパリィ | 下段 | (250/200/1)
[トリガーブレイド] スキル4 | エアレイド | 奥義 | (300/-100/1)
[トリガーブレイド] スキル5 | マガジンチェンジ | 無形 | (-200/0/2)
[スピア] スキル1 | グレイブ | 上段 | (400/-50/2)
[スピア] スキル2 | パイク | 中段 | (300/0/2)
[スピア] スキル3 | ロンパイア | 下段 | (200/200/1)
[スピア] スキル4 | スクイーズ | 奥義 | (250/250/1)
[スピア] スキル5 | ジャベリン | 無形 | (400/-100/1)
